VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB1K,Snohomish,Everett,WA,98203,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,38,270001420,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041202
KNDPZDDH1R,Snohomish,Marysville,WA,98270,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,44,265705226,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052710
KNDJX3AE4G,Snohomish,Lynnwood,WA,98037,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32,310983375,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051802
5YJ3E1EAXJ,Snohomish,Everett,WA,98204,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,21,281097603,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041905
JTJCJMGA6S,Snohomish,Snohomish,WA,98296,2025,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,44,281085857,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061041610
7SAYGDEE6T,Thurston,Olympia,WA,98512,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,35,284517950,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067012730
5YJ3E1EB5L,King,Seattle,WA,98108,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,11,4608306,POINT (-122.31449 47.53917),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5UXTA6C00M,Yakima,Yakima,WA,98908,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,14,167236786,POINT (-120.60199 46.59817),PACIFICORP,53077000800
1N4AZ0CP9E,Whitman,Pullman,WA,99163,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,9,216043187,POINT (-117.18147 46.73015),AVISTA CORP,53075000400
5YJ3E1EA8J,Yakima,Wapato,WA,98951,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,14,276279055,POINT (-120.42083 46.44779),PACIFICORP,53077940001
1V2DNPE85P,Stevens,Addy,WA,99101,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,7,262463491,POINT (-117.8379 48.35609),AVISTA CORP,53065950200
KM8JFDD21T,Thurston,Lacey,WA,98516,2026,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,22,290746137,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012225
1N4AZ0CPXE,King,Seattle,WA,98115,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,43,176822523,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003602
5YJ3E1EA3J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,1,253801355,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051929
1N4BZ1CPXK,Pierce,Orting,WA,98360,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31,4768963,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070100
5YJSA1E68N,Stevens,Colville,WA,99114,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,7,195942232,POINT (-117.90454 48.54657),AVISTA CORP,53065950200
5YJ3E1EB0J,King,Issaquah,WA,98029,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,5,474800945,POINT (-122.01656 47.57118),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221
JN1AZ0CP2C,Snohomish,Mill Creek,WA,98012,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,44,120126604,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052005
5YJSA1E21L,Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,39,103186184,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061053603
1N4AZ1CPXJ,Spokane,Spokane,WA,99224,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,6,196418953,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,53063003800
5YJ3E1EB4L,Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,1,103310007,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052107
5UXTA6C06N,Snohomish,Brier,WA,98036,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,1,278504194,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051914
5YJ3E1EA3J,Kitsap,Silverdale,WA,98383,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,35,284319199,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091302
1N4AZ1CP5J,Snohomish,Snohomish,WA,98290,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,39,349084263,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052203
5UXTS1C02M,Skagit,Anacortes,WA,98221,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,40,144921822,POINT (-122.61216 48.51749),PUGET SOUND ENERGY INC,53057940600
7FCTGAAA7P,Walla Walla,Walla Walla,WA,99362,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,16,236695875,POINT (-118.34261 46.07068),PACIFICORP,53071920701
WB523CF08S,Kitsap,Poulsbo,WA,98370,2025,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,277317946,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJXCAE25G,Spokane,Spokane,WA,99201,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,3,110516465,POINT (-117.41162 47.65726),MODERN ELECTRIC WATER COMPANY,53063003500
5UX43EU02R,Douglas,East Wenatchee,WA,98802,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,12,255338345,POINT (-120.29473 47.41515),PUD NO 1 OF DOUGLAS COUNTY,53017950600
5YJ3E1EB9J,Whitman,Pullman,WA,99163,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,9,474225076,POINT (-117.18147 46.73015),AVISTA CORP,53075000201
3C3CFFGE2J,Snohomish,Bothell,WA,98021,2018,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,1,181354484,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051916
1N4AZ1CP9K,Snohomish,Everett,WA,98204,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,21,186837304,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041813
5YJXCAE49G,Pierce,Roy,WA,98580,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,2,193739710,POINT (-122.54332 47.00328),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073001
5YJYGDEE8L,Thurston,Olympia,WA,98501,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,35,263031681,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011722
1G1RA6E42F,Stevens,Evans,WA,99126,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,7,208931460,POINT (-118.02345 48.71331),AVISTA CORP,53065950101
1N4BZ0CP9G,Chelan,Wenatchee,WA,98801,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,12,112864349,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007961002
1C4JJXR60N,Snohomish,Lynnwood,WA,98037,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,21,212046250,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051928
WA16AAGE2R,Yakima,Yakima,WA,98902,2024,AUDI,Q8,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,15,258791060,POINT (-120.51904 46.59783),PACIFICORP,53077000301
1C4JJXR63P,Chelan,Wenatchee,WA,98801,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,12,287631844,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007961102
KNDCC3LG5L,King,Maple Valley,WA,98038,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,5,147724573,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032003
1N4AZ1CP6K,Thurston,Olympia,WA,98502,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,22,176211864,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
1FMCU0E13R,Snohomish,Arlington,WA,98223,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,39,261557824,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,53061052701
KNDJX3AE2H,Skagit,Mount Vernon,WA,98274,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,10,256040396,POINT (-122.32295 48.4152),PUGET SOUND ENERGY INC,53057952401
5UXTA6C09M,Snohomish,Bothell,WA,98021,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,1,280513663,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051917
5YJSA1E22K,Thurston,Olympia,WA,98502,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,22,228611071,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010510
5YJ3E1EB1J,Thurston,Olympia,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,20,474828378,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067012610
1N4AZ0CP7E,Snohomish,Mukilteo,WA,98275,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,21,271817794,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061041301
1N4AZ1CP5L,Snohomish,Edmonds,WA,98026,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,32,135239667,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050900
JN1AZ0CP9C,Kitsap,Bremerton,WA,98311,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,23,349995887,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091204
5YJSA1E2XK,Kitsap,Kingston,WA,98346,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,23,166622116,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
1FMCU0LZ4N,Kitsap,Bremerton,WA,98310,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,23,193865430,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035091800
JM3KJDHA8S,Snohomish,Marysville,WA,98270,2025,MAZDA,CX-70,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,39,268037192,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052809
1N4BZ1CP8K,Snohomish,Everett,WA,98201,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,38,8901406,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040500
WB533CF06P,Stevens,Colville,WA,99114,2023,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,7,264249401,POINT (-117.90454 48.54657),AVISTA CORP,53065950101
5UXTA6C09M,Spokane,Spokane,WA,99203,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,6,168470151,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004200
WA1F2AFY1P,Chelan,Chelan,WA,98816,2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,12,244214890,POINT (-120.01454 47.83985),PUD NO 1 OF CHELAN COUNTY,53007960303
7FCTGAAA7P,Snohomish,Mukilteo,WA,98275,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,228620661,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
5YJSA1H26E,Snohomish,Lake Stevens,WA,98258,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,44,237823064,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052604
5YJ3E1EA9J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,21,124345658,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
KNDCC3LGXL,King,Kenmore,WA,98028,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,46,156846770,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021600
5UX43EU01S,Snohomish,Bothell,WA,98012,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,1,282051906,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052107
1FMCU0EZ5N,Snohomish,Lynnwood,WA,98036,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,1,220386463,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
5YJ3E1EB6J,Snohomish,Monroe,WA,98272,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,39,476658241,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052210
1N4AZ1CP8K,Snohomish,Woodway,WA,98020,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,32,274983740,POINT (-122.37695 47.81113),PUGET SOUND ENERGY INC,53061050600
KNDJX3AE5G,Snohomish,Bothell,WA,98012,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,1,278724029,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061051935
WA1LAAGE7M,Kitsap,Bainbridge Island,WA,98110,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,23,287453960,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035091002
1FADP5CU2G,Kitsap,Bremerton,WA,98312,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,35,257730028,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035091302
1FMCU0E11S,Whitman,Pullman,WA,99163,2025,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,9,284626695,POINT (-117.18147 46.73015),AVISTA CORP,53075000300
1FMCU0LZ5N,Thurston,Olympia,WA,98513,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,22,285412858,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067011623
3C3CFFGE6E,Thurston,Olympia,WA,98506,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,22,122970620,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010300
5YJ3E1EB6J,Spokane,Cheney,WA,99004,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,6,201868978,POINT (-117.57445 47.48928),CITY OF CHENEY - (WA),53063014002
5YJSA1E20F,Yakima,Yakima,WA,98903,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,14,233774187,POINT (-120.71847 46.55029),PACIFICORP,53077002803
5YJSA1H27F,Yakima,Yakima,WA,98908,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,14,109175566,POINT (-120.60199 46.59817),PACIFICORP,53077002900
1C4JJXN68P,Yakima,Yakima,WA,98902,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,14,251056879,POINT (-120.51904 46.59783),PACIFICORP,53077001202
5YJYGDEE5L,Skagit,Mount Vernon,WA,98273,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,39,110586332,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
5YJ3E1EB0K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,14,225951827,POINT (-120.60199 46.59817),PACIFICORP,53077002801
KNDAFFS52R,Kitsap,Poulsbo,WA,98370,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,269889490,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
1N4AZ1CP0K,Yakima,Moxee,WA,98936,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,15,203661531,POINT (-120.39197 46.55621),PACIFICORP,53077001702
1G6RL1E41G,Snohomish,Everett,WA,98203,2016,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,38,9006945,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041400
3FA6P0PU8G,Snohomish,Everett,WA,98203,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,38,270860880,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041303
1C4JJXR66M,Thurston,Yelm,WA,98597,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,2,271879611,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012422
5UX43EU0XR,Kitsap,Bainbridge Island,WA,98110,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,23,264303994,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035091002
7FCTGAAL8N,Walla Walla,Walla Walla,WA,99362,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,16,208114700,POINT (-118.34261 46.07068),PACIFICORP,53071920901
5YJ3E1EB3J,Walla Walla,Walla Walla,WA,99362,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,16,150106267,POINT (-118.34261 46.07068),PACIFICORP,53071920702
KNDRMDLH2N,Skagit,Mount Vernon,WA,98274,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,10,195195654,POINT (-122.32295 48.4152),PUGET SOUND ENERGY INC,53057951200
7SAYGDEE8P,Whitman,Pullman,WA,99163,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,9,220224175,POINT (-117.18147 46.73015),AVISTA CORP,53075000201
5YJSA1E22J,Snohomish,Monroe,WA,98272,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,39,281613727,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052204
KNDCS3LF7P,Yakima,Yakima,WA,98901,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,15,262260561,POINT (-120.50729 46.60464),PACIFICORP,53077001602
3C3CFFGE5F,Skagit,Mount Vernon,WA,98273,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,40,271037161,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
5YJ3E1EB6J,Snohomish,Lynnwood,WA,98037,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,21,474873346,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EB9N,Yakima,Yakima,WA,98902,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,265144827,POINT (-120.51904 46.59783),PACIFICORP,53077000700
5YJYGDEF1L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,39,124345742,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
1N4AZ0CP7D,Snohomish,Lynnwood,WA,98036,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,32,158481718,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051402
1G1FW6S04H,Chelan,Wenatchee,WA,98801,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,12,180734494,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007961304
5YJ3E1EB3J,King,Seattle,WA,98104,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,37,265078754,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009200
5YJ3E1EBXK,Grant,Moses Lake,WA,98837,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,13,177831160,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011101
JTJHKCFZ9R,Snohomish,Everett,WA,98201,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,38,271697863,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061041000
5YJXCDE22L,Kitsap,Port Orchard,WA,98367,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,26,131540447,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092101
1N4AZ0CP5E,Spokane,Spokane,WA,99205,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,3,214512931,POINT (-117.45674 47.69963),MODERN ELECTRIC WATER COMPANY,53063002100
JA4J24A57J,Yakima,Yakima,WA,98902,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,14,475842811,POINT (-120.51904 46.59783),PACIFICORP,53077000800
1G1RA6S56H,Skagit,Burlington,WA,98233,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,40,190203387,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951800
1N4AZ0CP2G,Snohomish,Everett,WA,98201,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,38,105386466,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040400
3C3CFFGEXJ,King,Seattle,WA,98146,2018,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,34,268756701,POINT (-122.36322 47.49736),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700
JN1AZ0CP5C,Stevens,Colville,WA,99114,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,7,153331706,POINT (-117.90454 48.54657),AVISTA CORP,53065950200
WA1VABGE7K,Thurston,Tumwater,WA,98512,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,22,262227675,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067011822
1FMCU0KZ9N,Snohomish,Bothell,WA,98021,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,1,193681967,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051916
KNDJP3AE0H,Snohomish,Bothell,WA,98021,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,1,224657002,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
1N4BZ0CP4H,Thurston,Olympia,WA,98502,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,22,349225236,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
JTJHKCFZ2S,Thurston,Olympia,WA,98502,2025,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,35,268376349,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
JTJHKCFZ1S,Skagit,Mount Vernon,WA,98273,2025,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,40,274324347,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
SADHD2S19L,Snohomish,Edmonds,WA,98020,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,21,124198980,POINT (-122.37695 47.81113),PUGET SOUND ENERGY INC,53061050502
